epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.275,0.9234,0.93847,1.74924,0.89594,0.7623,0.83935,0.59154,0.81994,0.64143,1.60057,0.00332817,0.00332817,0.00332817
2,480.199,0.83023,0.61769,1.60425,0.88952,0.75243,0.82566,0.56633,0.93389,0.75372,1.6756,0.00665986,0.00665986,0.00665986
3,715.916,0.87825,0.66036,1.6469,0.88969,0.69827,0.79295,0.53894,1.00392,0.76514,1.75711,0.00998498,0.00998498,0.00998498
4,957.286,0.86762,0.64286,1.63947,0.77968,0.59539,0.68806,0.43354,1.14894,1.02247,1.85536,0.00997783,0.00997783,0.00997783
5,1189.04,0.82523,0.59948,1.60653,0.9113,0.75177,0.84383,0.62289,0.81624,0.58231,1.57983,0.00996061,0.00996061,0.00996061
6,1419.44,0.80062,0.5739,1.58902,0.89251,0.76716,0.84389,0.61554,0.83861,0.57765,1.60522,0.0099385,0.0099385,0.0099385
7,1647.94,0.78501,0.5587,1.57609,0.9075,0.76955,0.85156,0.63603,0.79108,0.56153,1.57708,0.00991152,0.00991152,0.00991152
8,1877.12,0.77745,0.55104,1.56917,0.90903,0.77967,0.86141,0.65561,0.74055,0.52794,1.5428,0.0098797,0.0098797,0.0098797
9,2111.39,0.77151,0.54166,1.56596,0.92075,0.78667,0.86354,0.64748,0.77848,0.51854,1.55366,0.00984307,0.00984307,0.00984307
10,2342.69,0.76255,0.53395,1.56048,0.91764,0.7884,0.86681,0.6562,0.74734,0.5053,1.53708,0.00980167,0.00980167,0.00980167
11,2573.03,0.76112,0.53188,1.55846,0.9211,0.79737,0.87108,0.66266,0.74422,0.48428,1.53839,0.00975553,0.00975553,0.00975553
12,2804.67,0.75813,0.52695,1.55602,0.9211,0.79819,0.87383,0.66175,0.74976,0.48486,1.53644,0.0097047,0.0097047,0.0097047
13,3035.34,0.75303,0.52159,1.55481,0.92246,0.79547,0.87278,0.66675,0.7361,0.47386,1.53481,0.00964923,0.00964923,0.00964923
14,3275.39,0.75142,0.52164,1.55058,0.92622,0.7925,0.874,0.66888,0.7298,0.46829,1.52793,0.00958918,0.00958918,0.00958918
15,3525.97,0.74918,0.51689,1.54945,0.9247,0.80153,0.87491,0.67243,0.72036,0.4577,1.53016,0.00952461,0.00952461,0.00952461
