epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7882,2.16798,2.55161,1.73378,0.86152,0.58163,0.6438,0.36056,1.52162,1.79852,1.16619,0.00065812,0.00065812,0.00065812
2,137.567,1.65256,1.29574,1.23061,0.85767,0.64844,0.72812,0.42167,1.46935,1.01428,1.13121,0.00128107,0.00128107,0.00128107
3,202.928,1.50233,1.02698,1.15197,0.84982,0.56687,0.65296,0.36447,1.61346,1.06776,1.21902,0.00186002,0.00186002,0.00186002
4,268.107,1.44484,0.94023,1.12976,0.87647,0.61461,0.71508,0.46842,1.26975,0.97947,1.06087,0.001802,0.001802,0.001802
5,331.995,1.37918,0.86583,1.10203,0.87378,0.64721,0.73974,0.48381,1.26162,1.03397,1.05882,0.001736,0.001736,0.001736
6,397.139,1.33286,0.81483,1.0794,0.83376,0.50858,0.59893,0.37098,1.40519,2.35543,1.15039,0.00167,0.00167,0.00167
7,459.933,1.30154,0.77865,1.06811,0.88999,0.68258,0.76116,0.48946,1.29832,0.78679,1.06287,0.001604,0.001604,0.001604
8,523.865,1.2545,0.74306,1.04964,0.90041,0.71101,0.80089,0.52916,1.19129,0.72969,1.02102,0.001538,0.001538,0.001538
9,587.572,1.2169,0.72246,1.03539,0.86648,0.68209,0.76793,0.46628,1.40443,0.84981,1.08338,0.001472,0.001472,0.001472
10,650.146,1.18673,0.68921,1.02307,0.90482,0.71602,0.7948,0.53613,1.16129,0.71344,1.02117,0.001406,0.001406,0.001406
11,713.45,1.15223,0.65972,1.0111,0.88264,0.61852,0.73314,0.48075,1.27926,0.93815,1.0428,0.00134,0.00134,0.00134
12,776.173,1.1311,0.64949,1.00161,0.8934,0.68629,0.77368,0.48666,1.3186,0.73277,1.09928,0.001274,0.001274,0.001274
13,839.792,1.1076,0.62562,0.9928,0.88812,0.71932,0.79893,0.54163,1.17254,0.67616,1.03403,0.001208,0.001208,0.001208
14,902.062,1.07254,0.59987,0.98083,0.91362,0.72311,0.81303,0.54891,1.16792,0.66399,1.03157,0.001142,0.001142,0.001142
15,965.355,1.05055,0.58132,0.97182,0.8931,0.73259,0.80735,0.54143,1.17583,0.66485,1.02724,0.001076,0.001076,0.001076
16,1028.31,1.02592,0.56335,0.96077,0.91224,0.7221,0.81066,0.54413,1.15984,0.63181,1.02202,0.00101,0.00101,0.00101
17,1090.14,0.997,0.54519,0.95107,0.85151,0.70316,0.78236,0.52418,1.20523,0.70595,1.05385,0.000944,0.000944,0.000944
18,1150.38,0.9722,0.52746,0.94249,0.9113,0.72693,0.81824,0.55259,1.18633,0.63837,1.0535,0.000878,0.000878,0.000878
19,1211.56,0.95213,0.51127,0.93664,0.90835,0.73615,0.82015,0.56053,1.16159,0.6214,1.02365,0.000812,0.000812,0.000812
20,1273.37,0.92445,0.4959,0.92642,0.90544,0.74187,0.81657,0.538,1.22706,0.63014,1.04481,0.000746,0.000746,0.000746
21,1334.78,0.90245,0.48255,0.91764,0.91485,0.73864,0.82408,0.56974,1.12002,0.60237,1.01503,0.00068,0.00068,0.00068
22,1396.64,0.88031,0.46836,0.91246,0.91217,0.74484,0.82341,0.56013,1.14658,0.6006,1.01707,0.000614,0.000614,0.000614
23,1457.64,0.85695,0.45403,0.90578,0.90005,0.74825,0.82141,0.56312,1.15886,0.59981,1.02293,0.000548,0.000548,0.000548
24,1517.84,0.84099,0.43968,0.89896,0.91558,0.74473,0.83112,0.58106,1.12793,0.60423,1.01621,0.000482,0.000482,0.000482
25,1578.26,0.81662,0.42664,0.89157,0.91502,0.74915,0.83034,0.57816,1.12804,0.57699,1.02385,0.000416,0.000416,0.000416
26,1640.01,0.79609,0.41731,0.88484,0.91812,0.74637,0.82994,0.57285,1.12651,0.57555,1.02863,0.00035,0.00035,0.00035
27,1700.6,0.77327,0.40423,0.87984,0.90967,0.75125,0.82983,0.57602,1.13296,0.57823,1.02849,0.000284,0.000284,0.000284
28,1760.83,0.75308,0.39246,0.8734,0.91664,0.74519,0.82916,0.57255,1.15919,0.5771,1.03888,0.000218,0.000218,0.000218
29,1821.93,0.73636,0.38171,0.87094,0.91542,0.74648,0.82987,0.57907,1.14299,0.58419,1.0335,0.000152,0.000152,0.000152
30,1883.19,0.71809,0.3732,0.86534,0.91317,0.74849,0.82795,0.57394,1.14707,0.57982,1.03736,8.6e-05,8.6e-05,8.6e-05
