epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2380.72,0.52857,0.29897,1.52637,0.93673,0.79975,0.8839,0.70587,0.65515,0.40129,1.67642,2.56717e-06,2.56717e-06,2.56717e-06
99,2181.53,0.52843,0.29827,1.52534,0.93583,0.79877,0.88365,0.70619,0.65536,0.40336,1.67675,9.96626e-06,9.96626e-06,9.96626e-06
70,14575,0.60437,0.36427,1.59992,0.93739,0.79951,0.88353,0.70419,0.65196,0.39605,1.6685,0.00218966,0.00218966,0.00218966
71,14781.6,0.60115,0.35988,1.59803,0.9369,0.80041,0.88352,0.70436,0.65178,0.39673,1.66868,0.00206115,0.00206115,0.00206115
72,14988.3,0.59638,0.35665,1.59342,0.93654,0.80047,0.88334,0.70441,0.65138,0.39753,1.66854,0.00193555,0.00193555,0.00193555
98,1982.9,0.5277,0.29886,1.52574,0.93525,0.79794,0.88327,0.70543,0.65561,0.40565,1.67737,2.229e-05,2.229e-05,2.229e-05
73,15195.2,0.59217,0.35437,1.58876,0.936,0.80008,0.88323,0.7042,0.65127,0.39887,1.66861,0.00181296,0.00181296,0.00181296
74,15401.7,0.58766,0.34784,1.58358,0.93759,0.79876,0.88321,0.70435,0.65132,0.39993,1.66916,0.00169352,0.00169352,0.00169352
69,14368.9,0.60803,0.36581,1.60798,0.93641,0.79989,0.88313,0.70417,0.65216,0.39538,1.66826,0.00232094,0.00232094,0.00232094
97,1784.28,0.53148,0.30023,1.52832,0.9388,0.79531,0.88304,0.70516,0.65579,0.40795,1.6781,3.95261e-05,3.95261e-05,3.95261e-05
75,15608,0.58137,0.34539,1.57623,0.93824,0.79811,0.88294,0.70434,0.65125,0.40133,1.66941,0.00157735,0.00157735,0.00157735
68,14163,0.61269,0.37033,1.61261,0.93595,0.80008,0.88287,0.70379,0.65231,0.39505,1.66831,0.00245487,0.00245487,0.00245487
78,16226,0.56848,0.33545,1.56345,0.9349,0.79827,0.88287,0.70416,0.6523,0.40661,1.67235,0.00124953,0.00124953,0.00124953
79,16431.4,0.56304,0.32995,1.55699,0.93604,0.79679,0.88282,0.70404,0.65288,0.40892,1.67373,0.00114752,0.00114752,0.00114752
67,13955.6,0.61894,0.37563,1.61949,0.93588,0.8,0.88274,0.70318,0.65277,0.39469,1.66868,0.00259131,0.00259131,0.00259131
77,16020.5,0.57174,0.3372,1.56649,0.9364,0.79811,0.88271,0.70436,0.65186,0.40436,1.67123,0.00135524,0.00135524,0.00135524
96,1586.33,0.52971,0.30115,1.52806,0.93786,0.79514,0.88271,0.70507,0.65626,0.41027,1.67917,6.16577e-05,6.16577e-05,6.16577e-05
