epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.477,1.51666,2.5491,1.52605,1.27065,0.76977,0.63878,0.73346,0.41198,0.78565,0.6499,0.74755,0.42327,1.2315,1.69586,2.42488,0.96111,0.00333122,0.00333122,0.00333122
2,476.984,1.50674,2.37904,1.15432,1.22176,0.40934,0.34526,0.30749,0.14516,0.43112,0.36364,0.32801,0.1496,1.55099,2.28121,13.4032,1.15138,0.00659857,0.00659857,0.00659857
3,708.472,1.68544,2.63249,1.35907,1.3281,0.67941,0.47824,0.55536,0.29131,0.70173,0.47872,0.5556,0.30689,1.50252,2.04476,7.63281,1.11291,0.00979993,0.00979993,0.00979993
4,938.085,1.70708,2.63263,1.33479,1.38462,0.80835,0.63226,0.73711,0.36006,0.78602,0.67142,0.75925,0.42114,1.40078,1.79759,2.5543,1.08887,0.009703,0.009703,0.009703
5,1167.97,1.57174,2.43875,1.14141,1.3183,0.76057,0.68327,0.74642,0.38156,0.78793,0.68956,0.77273,0.41788,1.30059,1.72518,3.25607,1.03018,0.009604,0.009604,0.009604
6,1397.82,1.47749,2.31288,1.01191,1.27177,0.80567,0.69632,0.7867,0.4541,0.80439,0.69391,0.78282,0.44702,1.25369,1.71239,1.73808,0.98082,0.009505,0.009505,0.009505
7,1627.37,1.39534,2.15884,0.92113,1.23064,0.82436,0.70356,0.77105,0.44374,0.83815,0.71905,0.79973,0.44472,1.2048,1.61319,2.51838,0.96591,0.009406,0.009406,0.009406
8,1857.15,1.33332,2.08049,0.85881,1.20141,0.87374,0.74178,0.84451,0.48107,0.88514,0.75145,0.85889,0.47454,1.18274,1.5584,1.61172,0.96383,0.009307,0.009307,0.009307
9,2086.85,1.29269,2.02835,0.82106,1.17502,0.8336,0.7558,0.82214,0.47056,0.84222,0.76143,0.82939,0.47597,1.20863,1.57796,1.85402,0.96992,0.009208,0.009208,0.009208
10,2316.41,1.26254,1.95743,0.78757,1.16132,0.84026,0.78088,0.84455,0.49581,0.85484,0.78965,0.86283,0.50065,1.17459,1.51369,1.85847,0.96759,0.009109,0.009109,0.009109
11,2545.84,1.22038,1.90759,0.75128,1.14065,0.87557,0.75882,0.84895,0.48647,0.89008,0.77139,0.86943,0.49918,1.17563,1.50613,1.69897,0.96227,0.00901,0.00901,0.00901
12,2774.92,1.18525,1.84892,0.71595,1.11838,0.84484,0.78191,0.82516,0.49322,0.85825,0.79345,0.85336,0.49812,1.17142,1.47408,1.73611,0.96402,0.008911,0.008911,0.008911
13,3004.12,1.15531,1.80901,0.6939,1.10362,0.84018,0.79691,0.84834,0.50021,0.85541,0.8039,0.86673,0.51111,1.13098,1.47586,1.76575,0.93897,0.008812,0.008812,0.008812
14,3233.24,1.13423,1.77115,0.67694,1.09306,0.8655,0.80513,0.86064,0.53054,0.87798,0.81673,0.8816,0.53206,1.12278,1.44829,1.54522,0.94698,0.008713,0.008713,0.008713
15,3462.59,1.12486,1.75395,0.67048,1.08736,0.86293,0.81285,0.8674,0.52608,0.87628,0.82542,0.88914,0.5307,1.12287,1.4507,1.72313,0.95089,0.008614,0.008614,0.008614
16,3691.41,1.10154,1.71425,0.64715,1.08006,0.86698,0.7882,0.86735,0.53458,0.88184,0.79836,0.8875,0.52587,1.10176,1.44601,1.70846,0.92538,0.008515,0.008515,0.008515
17,3920.48,1.07503,1.6847,0.63148,1.07048,0.84978,0.80697,0.86679,0.52947,0.86181,0.81625,0.88354,0.52445,1.11743,1.45987,1.46652,0.94608,0.008416,0.008416,0.008416
18,4149.3,1.05798,1.65059,0.61901,1.0582,0.86665,0.7951,0.86678,0.54285,0.8838,0.80174,0.88512,0.53113,1.09589,1.43727,1.54701,0.93684,0.008317,0.008317,0.008317
